t,x0,y0,d0,e0,a0,b0,x1,y1,d1,e1,a1,b1,x2,y2,d2,e2,a2,b2,x3,y3,d3,e3,a3,b3
0,1,2,2,1,3,0,13,1,3,1,3,0,14,13,0,1,3,0,2,14,1,1,3,0
1,1,3,2,2,3,0,12,1,3,2,3,0,14,12,0,1,3,0,3,14,1,1,3,0
2,1,3,1,2,1,0,11,1,3,3,3,0,14,11,0,2,3,0,4,14,1,2,3,0
3,2,3,1,3,3,0,10,1,3,3,3,0,14,10,0,3,3,0,4,14,0,2,1,0
4,3,3,1,3,3,0,9,1,3,3,3,0,14,9,0,4,3,0,4,13,0,3,3,0
5,3,3,0,3,1,0,9,1,2,3,1,0,14,9,3,4,1,0,4,12,0,4,3,0
6,3,2,0,4,3,0,9,2,2,4,3,0,14,9,2,4,1,0,4,11,0,5,3,0
7,3,1,0,5,3,0,9,2,1,4,1,0,14,10,2,4,3,0,4,11,3,5,1,0
8,3,1,0,5,3,0,10,2,1,5,3,0,14,11,2,4,3,0,3,11,3,5,3,0
9,3,1,0,5,3,0,10,2,0,5,1,0,14,12,2,4,3,0,3,11,2,5,1,0
10,3,1,0,5,3,0,10,1,0,5,3,0,14,12,1,4,1,0,3,12,2,6,3,0
11,3,1,0,5,3,0,10,1,0,5,3,0,14,12,1,4,3,0,3,13,2,6,3,0
12,3,1,0,5,3,0,10,1,0,5,3,0,14,12,1,4,3,0,3,14,2,6,3,0
13,3,1,0,5,3,0,10,1,0,5,3,0,14,12,0,4,1,0,3,14,2,6,3,0
14,3,1,0,5,3,0,10,1,0,5,3,0,14,11,0,4,3,0,3,14,1,6,1,0
15,3,1,0,5,3,0,10,1,0,5,3,0,14,10,0,4,3,0,3,14,0,6,1,0
16,3,1,0,5,3,0,10,1,0,5,3,0,14,9,0,4,3,0,3,13,0,6,3,0
17,3,1,0,5,3,0,10,1,0,5,3,0,14,8,0,5,3,0,3,13,3,6,1,0
18,3,1,0,5,3,0,10,1,0,5,3,0,14,7,0,5,3,0,2,13,3,7,3,0
19,3,1,0,5,3,0,10,1,0,5,3,0,14,6,0,5,3,0,1,13,3,8,3,0
20,3,1,0,5,3,0,10,1,0,5,3,0,14,5,0,6,3,0,1,13,3,8,3,0
21,3,1,0,5,3,0,10,1,0,5,3,0,14,4,0,7,3,0,1,13,3,8,3,0
22,3,1,0,5,3,0,10,1,3,5,1,0,14,3,0,7,3,0,1,13,3,8,3,0
