generation,ID,score,rawScores,ownScore
0,121,58.000000,"[0.000000,58.000000,45.000000,0.000000]",45.000000
100,10122,51.000000,"[5.000000,51.000000,44.000000,40.000000]",51.000000
200,20163,82.000000,"[82.000000,0.000000,38.000000,4.000000]",82.000000
300,30148,72.000000,"[0.000000,16.000000,72.000000,46.000000]",46.000000
400,40172,90.000000,"[0.000000,0.000000,0.000000,90.000000]",90.000000
500,50152,58.000000,"[58.000000,0.000000,51.000000,38.000000]",38.000000
600,60120,83.000000,"[83.000000,0.000000,0.000000,0.000000]",0.000000
700,70101,63.000000,"[0.000000,63.000000,48.000000,0.000000]",48.000000
800,80121,64.000000,"[35.000000,0.000000,51.000000,64.000000]",51.000000
900,90174,103.000000,"[0.000000,103.000000,0.000000,0.000000]",103.000000
1000,100174,102.000000,"[0.000000,102.000000,0.000000,0.000000]",102.000000
1100,110139,72.000000,"[65.000000,0.000000,0.000000,72.000000]",65.000000
1200,120142,75.000000,"[0.000000,75.000000,0.000000,0.000000]",75.000000
1300,130178,76.000000,"[0.000000,76.000000,56.000000,0.000000]",76.000000
1400,140131,95.000000,"[95.000000,13.000000,0.000000,0.000000]",95.000000
1500,150171,104.000000,"[104.000000,0.000000,0.000000,0.000000]",104.000000
1600,160105,76.000000,"[0.000000,55.000000,76.000000,0.000000]",76.000000
1700,170144,79.000000,"[0.000000,49.000000,0.000000,79.000000]",79.000000
1800,180134,97.000000,"[0.000000,97.000000,0.000000,0.000000]",97.000000
1900,190108,60.000000,"[7.000000,34.000000,60.000000,39.000000]",39.000000
2000,200102,71.000000,"[71.000000,66.000000,0.000000,0.000000]",66.000000
2100,210129,54.000000,"[26.000000,54.000000,37.000000,29.000000]",37.000000
2200,220124,69.000000,"[0.000000,65.000000,0.000000,69.000000]",69.000000
2300,230192,84.000000,"[0.000000,0.000000,0.000000,84.000000]",84.000000
2400,240119,92.000000,"[92.000000,0.000000,0.000000,0.000000]",92.000000
2500,250119,72.000000,"[72.000000,0.000000,0.000000,62.000000]",72.000000
2600,260172,51.000000,"[0.000000,48.000000,48.000000,51.000000]",51.000000
2700,270159,72.000000,"[72.000000,0.000000,56.000000,8.000000]",72.000000
2800,280185,55.000000,"[36.000000,50.000000,55.000000,0.000000]",55.000000
2900,290127,89.000000,"[89.000000,20.000000,0.000000,0.000000]",89.000000
3000,300178,72.000000,"[0.000000,69.000000,0.000000,72.000000]",69.000000
3100,310176,106.000000,"[0.000000,0.000000,0.000000,106.000000]",106.000000
3200,320154,76.000000,"[76.000000,0.000000,60.000000,0.000000]",0.000000
3300,330195,91.000000,"[91.000000,0.000000,0.000000,0.000000]",91.000000
3400,340148,83.000000,"[0.000000,83.000000,53.000000,0.000000]",0.000000
3500,350101,102.000000,"[0.000000,1.000000,102.000000,0.000000]",102.000000
3600,360152,111.000000,"[0.000000,0.000000,0.000000,111.000000]",111.000000
3700,370149,67.000000,"[0.000000,66.000000,67.000000,0.000000]",67.000000
3800,380171,71.000000,"[0.000000,0.000000,39.000000,71.000000]",0.000000
3900,390134,69.000000,"[63.000000,69.000000,0.000000,0.000000]",69.000000
4000,400100,65.000000,"[10.000000,0.000000,59.000000,65.000000]",65.000000
4100,410163,73.000000,"[73.000000,0.000000,38.000000,0.000000]",73.000000
4200,420168,62.000000,"[0.000000,0.000000,61.000000,62.000000]",62.000000
4300,430126,87.000000,"[0.000000,52.000000,0.000000,87.000000]",52.000000
4400,440107,59.000000,"[32.000000,47.000000,59.000000,0.000000]",32.000000
4500,450148,50.000000,"[42.000000,47.000000,0.000000,50.000000]",50.000000
4600,460147,78.000000,"[78.000000,47.000000,0.000000,0.000000]",78.000000
4700,470122,95.000000,"[0.000000,95.000000,0.000000,2.000000]",95.000000
